2026-05-16 17:05:53 | INFO | consumer_group | Consumer 1 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0, 1, 2]}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 2 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0, 2], '2': [1]}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 3 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2]}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 4 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 5 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 6 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 7 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 8 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 9 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': [], '9': []}
2026-05-16 17:05:53 | INFO | consumer_group | Consumer 10 joined group group1
2026-05-16 17:05:53 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': [], '9': [], '10': []}
2026-05-16 17:05:53 | INFO | producer | Generating message for 1
2026-05-16 17:05:53 | DEBUG | producer | sending message for 1
2026-05-16 17:05:53 | INFO | producer | sending message for 1
2026-05-16 17:05:53 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-16 17:05:53 | INFO | producer | Generating message for 2
2026-05-16 17:05:53 | DEBUG | producer | sending message for 2
2026-05-16 17:05:53 | INFO | producer | sending message for 2
2026-05-16 17:05:53 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-16 17:05:53 | INFO | producer | Generating message for 3
2026-05-16 17:05:53 | DEBUG | producer | sending message for 3
2026-05-16 17:05:53 | INFO | producer | sending message for 3
2026-05-16 17:05:53 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-16 17:05:53 | INFO | producer | Generating message for 4
2026-05-16 17:05:53 | DEBUG | producer | sending message for 4
