2026-05-24 08:21:57 | INFO | consumer_group | Consumer 1 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0, 1, 2]}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 2 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0, 2], '2': [1]}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 3 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2]}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 4 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 5 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 6 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 7 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 8 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 9 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': [], '9': []}
2026-05-24 08:21:57 | INFO | consumer_group | Consumer 10 joined group group1
2026-05-24 08:21:57 | INFO | consumer_group | Rebalanced group group1: {'1': [0], '2': [1], '3': [2], '4': [], '5': [], '6': [], '7': [], '8': [], '9': [], '10': []}
2026-05-24 08:21:57 | INFO | producer | Generating message for 1
2026-05-24 08:21:57 | DEBUG | producer | sending message for 1
2026-05-24 08:21:57 | INFO | producer | sending message for 1
2026-05-24 08:21:57 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-24 08:21:57 | INFO | producer | Generating message for 2
2026-05-24 08:21:57 | DEBUG | producer | sending message for 2
2026-05-24 08:21:57 | INFO | producer | sending message for 2
2026-05-24 08:21:57 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-24 08:21:57 | INFO | producer | Generating message for 3
2026-05-24 08:21:57 | DEBUG | producer | sending message for 3
2026-05-24 08:21:57 | INFO | producer | sending message for 3
2026-05-24 08:21:57 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-24 08:21:57 | INFO | producer | Generating message for 4
2026-05-24 08:21:57 | DEBUG | producer | sending message for 4
2026-05-24 08:21:57 | INFO | producer | sending message for 4
2026-05-24 08:21:57 | INFO | partition | Producer 4 appending the message in partiotion 0
2026-05-24 08:21:57 | INFO | producer | Generating message for 5
2026-05-24 08:21:57 | DEBUG | producer | sending message for 5
2026-05-24 08:21:57 | INFO | producer | sending message for 5
2026-05-24 08:21:57 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-24 08:21:57 | INFO | producer | Generating message for 6
2026-05-24 08:21:57 | DEBUG | producer | sending message for 6
2026-05-24 08:21:57 | INFO | producer | sending message for 6
2026-05-24 08:21:57 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-24 08:21:57 | INFO | producer | Generating message for 7
2026-05-24 08:21:57 | DEBUG | producer | sending message for 7
2026-05-24 08:21:57 | INFO | producer | sending message for 7
2026-05-24 08:21:57 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-24 08:21:57 | INFO | producer | Generating message for 8
2026-05-24 08:21:57 | DEBUG | producer | sending message for 8
2026-05-24 08:21:57 | INFO | producer | sending message for 8
2026-05-24 08:21:57 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-24 08:21:57 | INFO | producer | Generating message for 9
2026-05-24 08:21:57 | DEBUG | producer | sending message for 9
2026-05-24 08:21:57 | INFO | producer | sending message for 9
2026-05-24 08:21:57 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-24 08:21:57 | INFO | producer | Generating message for 10
2026-05-24 08:21:57 | DEBUG | producer | sending message for 10
2026-05-24 08:21:57 | INFO | producer | sending message for 10
2026-05-24 08:21:57 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-24 08:21:57 | INFO | consumer | Getting message for 1 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 1 assigned partitions: [0]
2026-05-24 08:21:57 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=0 -> 0
2026-05-24 08:21:57 | INFO | partition | Consumer 1 reading the message in partiotion 0
2026-05-24 08:21:57 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=0 -> 1
2026-05-24 08:21:57 | DEBUG | consumer | Received message: producer 1 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Received message: producer 1 generate the messsage id- 1
2026-05-24 08:21:57 | DEBUG | consumer | Using message for 1: producer 1 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Getting message for 2 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 2 assigned partitions: [1]
2026-05-24 08:21:57 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=1 -> 0
2026-05-24 08:21:57 | INFO | partition | Consumer 2 reading the message in partiotion 1
2026-05-24 08:21:57 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=1 -> 1
2026-05-24 08:21:57 | DEBUG | consumer | Received message: producer 2 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Received message: producer 2 generate the messsage id- 1
